Actor_label,Country_label,Kpi_label_corporate,Fact_date,Kpi_value,,,
Pantaya,USA,SVOD subscribers,2021-03-31,900000,,,
Pantaya,USA,SVOD subscribers,2021-06-30,933000,,,
Pantaya,USA,SVOD subscribers,2021-09-30,951660,,,
Pantaya,USA,SVOD subscribers,2021-12-31,970693,,,
Pantaya,USA,SVOD subscribers,2022-03-31,990107,,,
Pantaya,USA,SVOD subscribers,2022-06-30,1009909,,,
Pantaya,USA,SVOD subscribers,2022-09-30,959414,,,
Screambox,USA,SVOD subscribers,2021-03-31,54089,,,
Screambox,USA,SVOD subscribers,2021-06-30,60851,,,
Screambox,USA,SVOD subscribers,2021-09-30,65414,,,
Screambox,USA,SVOD subscribers,2021-12-31,81768,,,
Screambox,USA,SVOD subscribers,2022-03-31,98122,,,
Screambox,USA,SVOD subscribers,2022-06-30,117746,,,
Screambox,USA,SVOD subscribers,2022-09-30,141295,,,
Screambox,USA,SVOD subscribers,2022-12-31,169554,,,
Qello Concerts,USA,SVOD subscribers,2022-03-31,15365,,,
Qello Concerts,USA,SVOD subscribers,2022-06-30,15519,,,
Qello Concerts,USA,SVOD subscribers,2022-09-30,15674,,,
Qello Concerts,USA,SVOD subscribers,2022-12-31,15831,,,
Qello Concerts,USA,SVOD subscribers,2021-03-31,14766,,,
Qello Concerts,USA,SVOD subscribers,2021-06-30,14913,,,
Qello Concerts,USA,SVOD subscribers,2021-09-30,15063,,,
Qello Concerts,USA,SVOD subscribers,2021-12-31,15213,,,
Yuppflix,USA,SVOD subscribers,2021-03-31,8226,,,
Yuppflix,USA,SVOD subscribers,2021-06-30,8308,,,
Yuppflix,USA,SVOD subscribers,2021-09-30,8391,,,
Yuppflix,USA,SVOD subscribers,2021-12-31,8475,,,
Yuppflix,USA,SVOD subscribers,2022-03-31,8560,,,
Yuppflix,USA,SVOD subscribers,2022-06-30,8646,,,
Yuppflix,USA,SVOD subscribers,2022-09-30,8732,,,
Yuppflix,USA,SVOD subscribers,2022-12-31,8819,,,
Pureflix,USA,SVOD subscribers,2021-03-31,612149,,,
Pureflix,USA,SVOD subscribers,2021-06-30,632350,,,
Pureflix,USA,SVOD subscribers,2021-09-30,653218,,,
Pureflix,USA,SVOD subscribers,2021-12-31,674774,,,
Pureflix,USA,SVOD subscribers,2022-03-31,697042,,,
Pureflix,USA,SVOD subscribers,2022-06-30,720044,,,
Pureflix,USA,SVOD subscribers,2022-09-30,743805,,,
Pureflix,USA,SVOD subscribers,2022-12-31,768351,,,
Broadway HD,USA,SVOD subscribers,2021-03-31,7129,,,
Broadway HD,USA,SVOD subscribers,2021-06-30,7271,,,
